Pos,   Class, Team, Vehicle, Driver, Laps, Best lap, Gap
"1",   "", "Aviles-Sport", "chawaii_subaru_wrx_sti_gr3", "Kappy Astur", "5", "02:01.0910", "-",
"2",   "", "Team Chermi", "chawaii_subaru_wrx_sti_gr3", "Ezequiel Cherminando", "5", "02:01.1390", "00:00.0480",
"3",   "", "LOA Racing", "chawaii_subaru_wrx_sti_gr3", "Juan Carlos Ortega", "5", "02:01.1620", "00:00.0710",
"4",   "", "LOA Racing", "chawaii_subaru_wrx_sti_gr3", "Rafa Alvarez", "5", "02:01.7600", "00:00.6690",
"5",   "", "nrc", "chawaii_subaru_wrx_sti_gr3", "bertillo30", "5", "02:01.8740", "00:00.7830",
"6",   "", "LDR", "chawaii_subaru_wrx_sti_gr3", "Luciano DR.", "5", "02:02.0100", "00:00.9190",
"7",   "", "", "chawaii_subaru_wrx_sti_gr3", "Jucarcaz", "4", "02:02.4430", "00:01.3520",
"8",   "", "LOA Racing", "chawaii_subaru_wrx_sti_gr3", "Akira", "5", "02:03.8430", "00:02.7520",
"9",   "", "AMC Racing Team", "chawaii_subaru_wrx_sti_gr3", "Josu Puelles", "5", "02:04.8640", "00:03.7730",
"10",   "", "Loa Racing", "chawaii_subaru_wrx_sti_gr3", "Ramiro", "5", "02:06.0580", "00:04.9670",
"11",   "", "GTS92", "chawaii_subaru_wrx_sti_gr3", "Juan José Ruiz García (Mecajota)", "0", "-", "-",
"12",   "", "BMT Racing", "chawaii_subaru_wrx_sti_gr3", "Montoro", "0", "-", "-",
"13",   "", "savepangolines", "chawaii_subaru_wrx_sti_gr3", "PANGOLIN DORMIDO", "0", "-", "-",
"14",   "", "RM Racing", "chawaii_subaru_wrx_sti_gr3", "Juan Izaguirre", "0", "-", "-",
"15",   "", "GIM", "chawaii_subaru_wrx_sti_gr3", "Gino Ivan Muchiut", "0", "-", "-",
"16",   "", "AMC Racing Team", "chawaii_subaru_wrx_sti_gr3", "Antonio Martínez", "0", "-", "-",
"17",   "", "LDRT", "chawaii_subaru_wrx_sti_gr3", "Sergio Diaz", "0", "-", "-",
"18",   "", "AuTornay Racing Team", "chawaii_subaru_wrx_sti_gr3", "Kyogren2911", "0", "-", "-",
"19",   "", "LOA Racing", "chawaii_subaru_wrx_sti_gr3", "Manolo Laguarda", "0", "-", "-",
"20",   "", "ForoAssetto", "chawaii_subaru_wrx_sti_gr3", "Antonio Gomez", "0", "-", "-",
"21",   "", "LOA Racing", "chawaii_subaru_wrx_sti_gr3", "Jose Miguel Romay", "0", "-", "-",
"22",   "", "los difentes racing tream", "chawaii_subaru_wrx_sti_gr3", "enzo diaz cancho", "0", "-", "-",
"23",   "", "", "chawaii_subaru_wrx_sti_gr3", "LOA TV", "0", "-", "-",

Qualify laps
'======================
"Juan José Ruiz García (Mecajota)"
No laps for this driver

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"Montoro"
No laps for this driver

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"PANGOLIN DORMIDO"
No laps for this driver

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"Juan Izaguirre"
No laps for this driver

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"Gino Ivan Muchiut"
No laps for this driver

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"Antonio Martínez"
No laps for this driver

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"Sergio Diaz"
No laps for this driver

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"Kyogren2911"
No laps for this driver

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"Manolo Laguarda"
No laps for this driver

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"Antonio Gomez"
No laps for this driver

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"Jose Miguel Romay"
No laps for this driver

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"enzo diaz cancho"
No laps for this driver

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"LOA TV"
No laps for this driver


Qualify best laps
'======================
'------------------------
Overall top (20)
'------------------------
Driver, Vehicle, Time, Gap,
"Kappy Astur", "chawaii_subaru_wrx_sti_gr3", "02:01.0910", ""
"Ezequiel Cherminando", "chawaii_subaru_wrx_sti_gr3", "02:01.1390", "0.048"
"Juan Carlos Ortega", "chawaii_subaru_wrx_sti_gr3", "02:01.1620", "0.071"
"Rafa Alvarez", "chawaii_subaru_wrx_sti_gr3", "02:01.7600", "0.669"
"Ezequiel Cherminando", "chawaii_subaru_wrx_sti_gr3", "02:01.7640", "0.673"
"bertillo30", "chawaii_subaru_wrx_sti_gr3", "02:01.8740", "0.783"
"Kappy Astur", "chawaii_subaru_wrx_sti_gr3", "02:01.9420", "0.851"
"Luciano DR.", "chawaii_subaru_wrx_sti_gr3", "02:02.0100", "0.919"
"bertillo30", "chawaii_subaru_wrx_sti_gr3", "02:02.1100", "1.019"
"Juan Carlos Ortega", "chawaii_subaru_wrx_sti_gr3", "02:02.1400", "1.049"
"bertillo30", "chawaii_subaru_wrx_sti_gr3", "02:02.1820", "1.091"
"Kappy Astur", "chawaii_subaru_wrx_sti_gr3", "02:02.3770", "1.286"
"Luciano DR.", "chawaii_subaru_wrx_sti_gr3", "02:02.3810", "1.29"
"Luciano DR.", "chawaii_subaru_wrx_sti_gr3", "02:02.3840", "1.293"
"Jucarcaz", "chawaii_subaru_wrx_sti_gr3", "02:02.4430", "1.352"
"Ezequiel Cherminando", "chawaii_subaru_wrx_sti_gr3", "02:02.4860", "1.395"
"Juan Carlos Ortega", "chawaii_subaru_wrx_sti_gr3", "02:02.4930", "1.402"
"Jucarcaz", "chawaii_subaru_wrx_sti_gr3", "02:02.5010", "1.41"
"Jucarcaz", "chawaii_subaru_wrx_sti_gr3", "02:02.5070", "1.416"
"Kappy Astur", "chawaii_subaru_wrx_sti_gr3", "02:02.5900", "1.499"


'------------------------
Per driver
'------------------------
Driver, Vehicle, Time, Gap,
"Kappy Astur", "chawaii_subaru_wrx_sti_gr3", "02:01.0910", ""
"Ezequiel Cherminando", "chawaii_subaru_wrx_sti_gr3", "02:01.1390", "0.048"
"Juan Carlos Ortega", "chawaii_subaru_wrx_sti_gr3", "02:01.1620", "0.071"
"Rafa Alvarez", "chawaii_subaru_wrx_sti_gr3", "02:01.7600", "0.669"
"bertillo30", "chawaii_subaru_wrx_sti_gr3", "02:01.8740", "0.783"
"Luciano DR.", "chawaii_subaru_wrx_sti_gr3", "02:02.0100", "0.919"
"Jucarcaz", "chawaii_subaru_wrx_sti_gr3", "02:02.4430", "1.352"
"Akira", "chawaii_subaru_wrx_sti_gr3", "02:03.8430", "2.752"
"Josu Puelles", "chawaii_subaru_wrx_sti_gr3", "02:04.8640", "3.773"
"Ramiro", "chawaii_subaru_wrx_sti_gr3", "02:06.0580", "4.967"


Qualify consistency
'======================
Driver, Vehicle, Consistency,
"Jucarcaz", "chawaii_subaru_wrx_sti_gr3", "99.95%  0.061",
"bertillo30", "chawaii_subaru_wrx_sti_gr3", "99.78%  0.272",
"Josu Puelles", "chawaii_subaru_wrx_sti_gr3", "99.77%  0.2895",
"Luciano DR.", "chawaii_subaru_wrx_sti_gr3", "99.53%  0.5717",
"Ezequiel Cherminando", "chawaii_subaru_wrx_sti_gr3", "99.19%  0.986",
"Akira", "chawaii_subaru_wrx_sti_gr3", "99.05%  1.173",
"Kappy Astur", "chawaii_subaru_wrx_sti_gr3", "99.00%  1.212",
"Juan Carlos Ortega", "chawaii_subaru_wrx_sti_gr3", "98.93%  1.302",
"Rafa Alvarez", "chawaii_subaru_wrx_sti_gr3", "96.31%  4.497",
"Ramiro", "chawaii_subaru_wrx_sti_gr3", "95.08%  6.1963",
"Juan José Ruiz García (Mecajota)", "chawaii_subaru_wrx_sti_gr3", "-",
"Montoro", "chawaii_subaru_wrx_sti_gr3", "-",
"PANGOLIN DORMIDO", "chawaii_subaru_wrx_sti_gr3", "-",
"Juan Izaguirre", "chawaii_subaru_wrx_sti_gr3", "-",
"Gino Ivan Muchiut", "chawaii_subaru_wrx_sti_gr3", "-",
"Antonio Martínez", "chawaii_subaru_wrx_sti_gr3", "-",
"Sergio Diaz", "chawaii_subaru_wrx_sti_gr3", "-",
"Kyogren2911", "chawaii_subaru_wrx_sti_gr3", "-",
"Manolo Laguarda", "chawaii_subaru_wrx_sti_gr3", "-",
"Antonio Gomez", "chawaii_subaru_wrx_sti_gr3", "-",
"Jose Miguel Romay", "chawaii_subaru_wrx_sti_gr3", "-",
"enzo diaz cancho", "chawaii_subaru_wrx_sti_gr3", "-",
"LOA TV", "chawaii_subaru_wrx_sti_gr3", "-",




Qualify sectors
'======================
'------------------------
Sector 1
'------------------------
Driver, Vehicle, Time, Gap,
"Kappy Astur", "chawaii_subaru_wrx_sti_gr3", "31.4430", "-"
"Luciano DR.", "chawaii_subaru_wrx_sti_gr3", "31.4910", "0.0480"
"bertillo30", "chawaii_subaru_wrx_sti_gr3", "31.5550", "0.1120"
"Rafa Alvarez", "chawaii_subaru_wrx_sti_gr3", "31.5650", "0.1220"
"Juan Carlos Ortega", "chawaii_subaru_wrx_sti_gr3", "31.6140", "0.1710"
"Ezequiel Cherminando", "chawaii_subaru_wrx_sti_gr3", "31.6300", "0.1870"
"Jucarcaz", "chawaii_subaru_wrx_sti_gr3", "31.7500", "0.3070"
"Josu Puelles", "chawaii_subaru_wrx_sti_gr3", "32.1220", "0.6790"
"Akira", "chawaii_subaru_wrx_sti_gr3", "32.1250", "0.6820"
"Ramiro", "chawaii_subaru_wrx_sti_gr3", "32.7110", "1.2680"
'------------------------
Sector 2
'------------------------
Driver, Vehicle, Time, Gap,
"Ezequiel Cherminando", "chawaii_subaru_wrx_sti_gr3", "47.8620", "-"
"Juan Carlos Ortega", "chawaii_subaru_wrx_sti_gr3", "47.8900", "0.0280"
"Rafa Alvarez", "chawaii_subaru_wrx_sti_gr3", "48.0420", "0.1800"
"Kappy Astur", "chawaii_subaru_wrx_sti_gr3", "48.0510", "0.1890"
"Jucarcaz", "chawaii_subaru_wrx_sti_gr3", "48.0640", "0.2020"
"bertillo30", "chawaii_subaru_wrx_sti_gr3", "48.2940", "0.4320"
"Luciano DR.", "chawaii_subaru_wrx_sti_gr3", "48.3740", "0.5120"
"Akira", "chawaii_subaru_wrx_sti_gr3", "48.8890", "1.0270"
"Josu Puelles", "chawaii_subaru_wrx_sti_gr3", "49.4820", "1.6200"
"Ramiro", "chawaii_subaru_wrx_sti_gr3", "50.0130", "2.1510"
'------------------------
Sector 3
'------------------------
Driver, Vehicle, Time, Gap,
"Juan Carlos Ortega", "chawaii_subaru_wrx_sti_gr3", "41.4760", "-"
"Kappy Astur", "chawaii_subaru_wrx_sti_gr3", "41.5970", "0.1210"
"Ezequiel Cherminando", "chawaii_subaru_wrx_sti_gr3", "41.6330", "0.1570"
"bertillo30", "chawaii_subaru_wrx_sti_gr3", "41.8410", "0.3650"
